"filename", "language", "Python", "comment", "blank", "total"
"c:\Users\davey\Desktop\Projects\Win-11-Python-EXE-Builder\Tests\test_build_controller.py", "Python", 743, 0, 186, 929
"c:\Users\davey\Desktop\Projects\Win-11-Python-EXE-Builder\Tests\test_datetime_build_options.py", "Python", 26, 0, 4, 30
"c:\Users\davey\Desktop\Projects\Win-11-Python-EXE-Builder\Tests\test_file_pickers.py", "Python", 214, 0, 66, 280
"c:\Users\davey\Desktop\Projects\Win-11-Python-EXE-Builder\Tests\test_state_controller.py", "Python", 118, 0, 17, 135
"c:\Users\davey\Desktop\Projects\Win-11-Python-EXE-Builder\Tests\test_ui_handlers.py", "Python", 250, 0, 63, 313
"c:\Users\davey\Desktop\Projects\Win-11-Python-EXE-Builder\Tests\test_validation_controller.py", "Python", 44, 0, 15, 59
"c:\Users\davey\Desktop\Projects\Win-11-Python-EXE-Builder\build_controller.py", "Python", 550, 0, 95, 645
"c:\Users\davey\Desktop\Projects\Win-11-Python-EXE-Builder\datetime_build_options.py", "Python", 29, 0, 2, 31
"c:\Users\davey\Desktop\Projects\Win-11-Python-EXE-Builder\file_pickers.py", "Python", 33, 0, 5, 38
"c:\Users\davey\Desktop\Projects\Win-11-Python-EXE-Builder\main.py", "Python", 14, -3, -2, 9
"c:\Users\davey\Desktop\Projects\Win-11-Python-EXE-Builder\state_controller.py", "Python", 31, 0, 4, 35
"c:\Users\davey\Desktop\Projects\Win-11-Python-EXE-Builder\styles.py", "Python", 3, 0, 1, 4
"c:\Users\davey\Desktop\Projects\Win-11-Python-EXE-Builder\tooltips.py", "Python", 8, 0, 3, 11
"c:\Users\davey\Desktop\Projects\Win-11-Python-EXE-Builder\ui_handlers.py", "Python", 111, -1, 22, 132
"c:\Users\davey\Desktop\Projects\Win-11-Python-EXE-Builder\validation_controller.py", "Python", 2, 0, 0, 2
"Total", "-", 2176, -4, 481, 2653
